SIP,DIP,Prot,SPort,DPort,SBytes,SBytes_av,DBytes,DBytes_av,SBytes_std,DBytes_std,SBytes_max,DBytes_max,Start,Curr,Inter_av,Inter_std,Inter_max,NIdle,tIdle,tIdle_av,tIdle_std,NSPack,NDPack,SYN1,SYN2,FIN_init,FIN1,FIN2,T_Ind,T_Counter,T_Packets_max,T_Bytes_max,T_Dur_max,B_Counter,B_Packets,B_Packets_max,B_Bytes,B_Bytes_max,B_Dur,B_Dur_max,B_Ind,B_IndP,1B_Packets,1B_Bytes,1B_Dur,1B_Ind,Perc_B
131.243.142.83,57.201.130.227,TCP,1421,80,383,76.6,241,48.2,23470.239999999998,9292.960000000001,383,241,9.830503,0.23608999999999902,0.0236089999999999,0.0012437505635999836,0.07856499999999933,0,0,0,0,5,5,True,True,2,True,True,True,1,10,624,0.23608999999999902,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1423,80,389,77.8,241,48.2,24211.36,9292.960000000001,389,241,9.83213,0.24476600000000026,0.024476600000000025,0.0012165079426399946,0.07887299999999975,0,0,0,0,5,5,True,True,2,True,True,True,1,10,630,0.24476600000000026,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1422,80,334,47.714285714285715,8734,970.4444444444445,13659.91836734694,470943.80246913584,334,1460,9.831375,0.3241639999999997,0.02026024999999998,0.001113651252937513,0.0810139999999997,0,0,0,0,7,9,True,True,2,True,True,True,1,16,11962,0.3241639999999997,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1424,80,334,47.714285714285715,8587,954.1111111111111,13659.91836734694,457935.20987654326,334,1460,9.838261,0.3285210000000003,0.020532562500000018,0.0010941499934961016,0.07992000000000132,0,0,0,0,7,9,True,True,2,True,True,True,1,16,11668,0.3285210000000003,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1425,80,334,47.714285714285715,7963,884.7777777777778,13659.91836734694,450231.50617283944,334,1460,9.994536,0.34051799999999943,0.021282374999999965,0.0011346871297343631,0.08205500000000043,0,0,0,0,7,9,True,True,2,True,True,True,2,9,4714,0.25869499999999945,1,4,4,5043,5043,0.0023730000000004026,0.0023730000000004026,2.0,2.0,4,5043,0.0023730000000004026,2,0.25
131.243.142.83,57.201.130.227,TCP,1427,80,334,47.714285714285715,8127,903.0,13659.91836734694,444805.33333333326,334,1460,10.089354,0.32390400000000064,0.02024400000000004,0.0010961794268750007,0.07906299999999966,0,0,0,0,7,9,True,True,2,True,True,True,2,9,4714,0.24270199999999953,1,4,4,5207,5207,0.002624000000000848,0.002624000000000848,2.0,2.0,4,5207,0.002624000000000848,2,0.25
131.243.142.83,57.201.130.227,TCP,1426,80,334,41.75,8978,897.8,12201.4375,477667.55999999994,334,1460,9.999549,0.422091,0.023449499999999998,0.0011889664569166717,0.0816820000000007,0,0,0,0,8,10,True,True,2,True,True,True,1,18,12232,0.422091,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.103,208.122.26.186,TCP,2158,80,443,88.6,398,99.5,31399.840000000004,29700.75,443,398,10.402282,0.02521600000000035,0.0028017777777778166,1.1056252839506261e-05,0.008487999999999829,0,0,0,0,5,4,True,True,2,True,True,True,1,9,1239,0.02521600000000035,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.83,57.201.130.227,TCP,1428,80,334,47.714285714285715,7757,861.8888888888889,13659.91836734694,464575.20987654326,334,1460,10.121329,0.32253500000000024,0.020158437500000015,0.0010922969588710995,0.0784470000000006,0,0,0,0,7,9,True,True,2,True,True,True,2,9,4714,0.24046700000000065,1,4,4,4837,4837,0.002643000000000839,0.002643000000000839,2.0,2.0,4,4837,0.002643000000000839,2,0.25
131.243.140.103,56.152.22.25,TCP,2154,80,500,55.55555555555556,13010,1000.7692307692307,24691.35802469136,379046.94674556225,500,1460,9.927329,0.549415999999999,0.0249734545454545,0.0012020029187024763,0.07755599999999951,0,0,0,0,9,13,True,True,2,True,True,True,1,22,17890,0.549415999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.103,208.235.56.187,TCP,2159,80,543,45.25,23949,1197.45,22523.1875,280282.7474999998,543,1460,10.523578,0.031592999999999094,0.0009872812499999717,1.0997693271484955e-06,0.002974000000000032,0,0,0,0,12,20,True,True,2,True,True,True,3,12,9799,0.017851000000000283,2,10,6,14600,8760,0.0011249999999982663,0.0007489999999990005,2.0,2.0,4,5840,0.0003759999999992658,2,0.3125
131.243.140.103,208.235.59.212,TCP,2157,80,654,130.8,784,261.3333333333333,68434.56,136590.22222222225,654,784,10.35019,0.25157700000000105,0.03144712500000013,0.0015481901066094108,0.08431000000000033,0,0,0,0,5,3,True,True,2,True,True,True,1,8,2222,0.25157700000000105,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.197,208.122.26.134,TCP,1343,80,1205,200.83333333333334,551,137.75,201670.13888888888,56925.1875,1205,551,10.788417,0.025095999999999563,0.0025095999999999565,9.373509239999822e-06,0.008105000000000473,0,0,0,0,6,4,True,True,2,True,True,True,1,10,1756,0.025095999999999563,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.197,56.81.16.73,TCP,1344,80,2137,356.1666666666667,553,110.6,304800.1388888889,48929.44,1460,553,10.859272,0.26006199999999957,0.02364199999999996,0.0011482911087272564,0.07903899999999986,0,0,0,0,6,5,True,True,2,True,True,True,1,11,2690,0.26006199999999957,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.192,205.0.3.137,TCP,1197,80,219,43.8,267,66.75,7673.760000000001,13366.6875,219,267,11.123614,0.01871799999999979,0.0020797777777777546,3.599477728394978e-06,0.004986999999999853,0,0,0,0,5,4,True,True,1,True,True,True,1,9,486,0.01871799999999979,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.192,59.69.194.147,TCP,1193,80,281,93.66666666666667,263,87.66666666666667,17546.888888888887,15370.888888888887,281,263,11.211666,0.00975500000000018,0.0016258333333333634,2.537957805556062e-06,0.003854000000000468,0,0,0,0,3,3,False,False,1,True,True,True,1,6,526,0.00975500000000018,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.192,59.69.194.147,TCP,1192,80,530,88.33333333333333,7842,871.3333333333334,15885.88888888889,357506.4444444444,294,1380,11.217171,0.03746699999999947,0.002497799999999965,2.8272390693332412e-05,0.021736999999999895,0,0,0,0,6,9,False,False,1,True,True,True,2,8,1380,0.031361000000000416,1,6,6,7577,7577,0.0007490000000007768,0.0007490000000007768,2.0,2.0,6,7577,0.0007490000000007768,2,0.4
131.243.142.197,205.233.166.243,TCP,1345,80,2173,241.44444444444446,10266,933.2727272727273,235034.46913580244,485667.10743801645,1460,1460,11.071883,0.529401,0.026470050000000002,0.0013973882959475003,0.09631599999999985,0,0,0,0,9,11,True,True,2,True,True,True,2,11,7392,0.24683100000000024,1,4,4,4380,4380,0.09656500000000001,0.09656500000000001,2.0,2.0,4,4380,0.09656500000000001,2,0.2
131.243.143.11,218.104.21.33,TCP,1654,80,295,49.166666666666664,4786,683.7142857142857,12086.805555555555,408322.77551020414,295,1380,12.003184,0.10341800000000134,0.007955230769230872,0.0004567827263313531,0.08181899999999942,0,0,0,0,6,7,True,True,2,True,True,True,1,13,6461,0.10341800000000134,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.29,59.11.88.73,TCP,2410,80,408,81.6,161,40.25,26634.240000000005,3966.1875,408,149,11.957461,0.23373999999999917,0.025971111111111018,0.0012911242814320802,0.07732299999999981,0,0,0,0,5,4,True,True,2,True,True,True,1,9,718,0.23373999999999917,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.142.192,204.116.36.209,TCP,1200,80,719,143.8,426,85.2,82713.76,29036.159999999996,719,426,12.603481,0.6219559999999991,0.062195599999999907,0.016812782415840062,0.4284890000000008,0,0,0,0,5,5,True,True,2,True,True,True,1,10,1145,0.6219559999999991,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.143.11,218.104.21.33,TCP,1655,80,295,42.142857142857146,5620,702.5,10656.122448979591,459943.75,295,1380,13.68566,0.37750099999999875,0.02516673333333325,0.007951489609795545,0.3587819999999997,0,0,0,0,7,8,True,True,2,True,True,True,1,15,7295,0.37750099999999875,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.140.56,128.3.164.15,TCP,3181,993,93,23.25,0,0,180.1875,0,31,0,11.790934,2.347569,0.58689225,0.43918316707868726,1.6093949999999992,0,0,0,0,4,0,False,False,1,True,True,False,0,0,0,0,1,4,4,62,62,2.347569,2.347569,1.0,0.0,0,0,0,1,1.0
131.243.141.160,150.110.114.135,TCP,3078,80,284,47.333333333333336,4751,678.7142857142857,11202.22222222222,472552.77551020414,284,1460,14.136754,0.03859500000000082,0.0029688461538462173,8.397177207102066e-06,0.00899500000000053,0,0,0,0,6,7,True,True,2,True,True,True,1,13,6495,0.03859500000000082,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.141.58,131.243.160.62,TCP,1702,8000,8475,403.57142857142856,10521,389.6666666666667,215256.0544217687,128324.22222222219,1163,1350,2.61627,13.10901,0.273104375,3.2970417970496517,12.720508,1,12.720508,12.720508,161.811323778064,21,27,True,True,2,True,True,True,3,27,22137,12.959894,2,14,9,4930,3652,0.14077399999999907,0.11040399999999906,2.0,2.0,9,3652,0.030370000000000008,2,0.2916666666666667
131.243.141.210,128.3.161.197,TCP,1257,445,39,13.0,39,19.5,338.0,380.25,39,39,15.816857,0.0030109999999989867,0.0006021999999997974,3.3045135999993526e-07,0.001519000000000048,0,0,0,0,3,2,False,False,1,True,True,True,1,5,78,0.0030109999999989867,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131.243.141.58,131.243.160.62,TCP,1704,8000,1503,214.71428571428572,1846,184.6,228116.20408163266,51252.840000000004,1380,512,15.768283,0.16099200000000025,0.009470117647058837,0.0006540346431626343,0.0933130000000002,0,0,0,0,7,10,True,True,2,True,True,True,2,6,1503,0.0032239999999994495,1,8,8,1846,1846,0.1561660000000007,0.1561660000000007,2.0,2.0,8,1846,0.1561660000000007,2,0.47058823529411764
131.243.142.186,128.3.164.248,TCP,49686,25,8110,477.05882352941177,513,36.642857142857146,405662.9965397924,2562.9438775510207,1368,189,15.649345,0.6339690000000004,0.02045061290322582,0.001999662222688893,0.188562000000001,0,0,0,0,17,14,True,True,2,True,True,True,2,18,3515,0.42948200000000014,1,4,4,5464,5464,0.003619999999997958,0.003619999999997958,1.0,1.0,4,5464,0.003619999999997958,1,0.12903225806451613
131.243.142.113,60.214.129.108,TCP,2193,80,413,68.83333333333333,4106,684.3333333333334,23690.13888888889,476653.8888888888,413,1460,16.400887,0.23759199999999936,0.01979933333333328,0.001079228052222268,0.07694400000000101,0,0,0,0,6,6,True,True,2,True,True,True,2,5,413,0.1543859999999988,1,4,4,4106,4106,0.004868999999999346,0.004868999999999346,2.0,2.0,4,4106,0.004868999999999346,2,0.3333333333333333
131.243.143.11,218.104.21.33,TCP,1656,80,490,81.66666666666667,4707,672.4285714285714,33347.22222222222,409938.2448979591,490,1380,15.452828,1.211625999999999,0.09320199999999992,0.10075629715046155,1.192774,0,0,0,0,6,7,True,True,2,True,True,True,1,13,6577,1.211625999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
