Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-11 13:31:52.092,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:35501,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-11 13:31:53.500,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:41122,       2,     530,    1
2018-05-11 13:31:51.011,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:43046,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-11 13:31:50.012,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:47031,       2,     264,    1
2018-05-11 13:31:51.987,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:57968,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-11 13:31:52.788,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58304,        10.0.2.3,        10.0.2.3:53   ,       2,     138,    1
2018-05-11 13:31:52.093,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35501,       2,     264,    1
2018-05-11 13:31:53.436,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:41122,        10.0.2.3,        10.0.2.3:53   ,       2,     146,    1
2018-05-11 13:31:51.987,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:57968,       2,     264,    1
2018-05-11 13:31:51.013,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:43046,       2,     264,    1
2018-05-11 13:31:52.829,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58304,       2,     650,    1
2018-05-11 13:31:52.184,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:45585,       2,     264,    1
2018-05-11 13:31:52.183,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:45585,        10.0.2.3,        10.0.2.3:53   ,       2,     150,    1
2018-05-11 13:31:53.870,    5.142,TCP  ,   93.184.220.29,   93.184.220.29:80   ,   192.168.1.100,   192.168.1.100:33364,       3,     124,    1
2018-05-11 13:31:53.856,    5.156,TCP  ,   192.168.1.100,   192.168.1.100:33364,   93.184.220.29,   93.184.220.29:80   ,       4,     180,    1
2018-05-11 13:31:53.508,    5.659,TCP  ,   192.168.1.100,   192.168.1.100:49744,  54.213.215.252,  54.213.215.252:443  ,      11,     821,    1
2018-05-11 13:31:53.676,    5.491,TCP  ,  54.213.215.252,  54.213.215.252:443  ,   192.168.1.100,   192.168.1.100:49744,      10,    3561,    1
2018-05-11 13:31:48.227,   61.519,TCP  ,   192.168.1.100,   192.168.1.100:54786,   52.24.239.232,   52.24.239.232:443  ,      17,    1358,    1
2018-05-11 13:31:48.396,   61.349,TCP  ,   52.24.239.232,   52.24.239.232:443  ,   192.168.1.100,   192.168.1.100:54786,      16,    4035,    1
2018-05-11 13:31:53.501,   61.362,TCP  ,   192.168.1.100,   192.168.1.100:49742,  54.213.215.252,  54.213.215.252:443  ,      17,    1622,    1
2018-05-11 13:31:52.995,   61.265,TCP  ,   52.10.153.199,   52.10.153.199:443  ,   192.168.1.100,   192.168.1.100:58014,      16,    5577,    1
2018-05-11 13:31:52.829,   61.432,TCP  ,   192.168.1.100,   192.168.1.100:58014,   52.10.153.199,   52.10.153.199:443  ,      17,    1394,    1
2018-05-11 13:31:53.669,   61.193,TCP  ,  54.213.215.252,  54.213.215.252:443  ,   192.168.1.100,   192.168.1.100:49742,      16,    4040,    1
2018-05-11 13:33:01.274,    0.014,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:47768,       2,     406,    1
2018-05-11 13:33:01.334,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:42962,       1,     235,    1
2018-05-11 13:33:01.275,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:57972,        10.0.2.3,        10.0.2.3:53   ,       2,     124,    1
2018-05-11 13:33:01.333,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:56380,       2,     395,    1
2018-05-11 13:33:01.273,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:47768,        10.0.2.3,        10.0.2.3:53   ,       2,     116,    1
2018-05-11 13:33:02.121,    0.000,TCP  ,   192.168.1.100,   192.168.1.100:37898,      31.13.90.6,      31.13.90.6:443  ,       1,      60,    1
2018-05-11 13:33:03.794,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58954,        10.0.2.3,        10.0.2.3:53   ,       2,     124,    1
2018-05-11 13:33:01.289,    0.082,TCP  ,   192.168.1.100,   192.168.1.100:39188,     31.13.90.36,     31.13.90.36:443  ,      11,     986,    1
2018-05-11 13:33:01.275,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:57972,       2,     472,    1
2018-05-11 13:33:01.303,    0.068,TCP  ,     31.13.90.36,     31.13.90.36:443  ,   192.168.1.100,   192.168.1.100:39188,      12,    4090,    1
2018-05-11 13:33:03.821,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:44140,       2,     472,    1
2018-05-11 13:33:03.820,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:44140,        10.0.2.3,        10.0.2.3:53   ,       2,     124,    1
2018-05-11 13:33:01.333,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:42962,        10.0.2.3,        10.0.2.3:53   ,       1,      63,    1
2018-05-11 13:33:01.326,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:56380,        10.0.2.3,        10.0.2.3:53   ,       2,     126,    1
2018-05-11 13:33:03.795,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:58954,       2,     472,    1
2018-05-11 13:33:01.346,    5.847,TCP  ,   93.184.220.29,   93.184.220.29:80   ,   192.168.1.100,   192.168.1.100:33370,       3,     124,    1
2018-05-11 13:33:01.333,    5.861,TCP  ,   192.168.1.100,   192.168.1.100:33370,   93.184.220.29,   93.184.220.29:80   ,       4,     180,    1
2018-05-11 13:33:11.134,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:41410,       2,     472,    1
2018-05-11 13:33:11.133,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:41410,        10.0.2.3,        10.0.2.3:53   ,       2,     124,    1
2018-05-11 13:33:18.154,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:35461,       2,     464,    1
2018-05-11 13:33:18.138,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:35461,        10.0.2.3,        10.0.2.3:53   ,       2,     128,    1
2018-05-11 13:33:37.915,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:54256,       2,     472,    1
2018-05-11 13:33:37.914,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:54256,        10.0.2.3,        10.0.2.3:53   ,       2,     124,    1
2018-05-11 13:31:49.022,  115.164,TCP  ,   192.168.1.100,   192.168.1.100:35066,    54.192.35.47,    54.192.35.47:443  ,      22,    1640,    1
2018-05-11 13:31:49.030,  115.155,TCP  ,    54.192.35.47,    54.192.35.47:443  ,   192.168.1.100,   192.168.1.100:35066,      22,    7227,    1
