Date first seen          Duration Proto      Src IP Addr      Src IP Addr:Port       Dst IP Addr      Dst IP Addr:Port   Packets    Bytes Flows
2018-05-10 13:46:03.251,    0.134,TCP  ,   192.168.1.100,   192.168.1.100:50426,   216.58.204.14,   216.58.204.14:443  ,      11,     956,    1
2018-05-10 13:46:03.404,    0.067,TCP  ,   192.168.1.100,   192.168.1.100:34550,   216.58.210.46,   216.58.210.46:443  ,       5,     408,    1
2018-05-10 13:46:03.249,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:40824,       2,     898,    1
2018-05-10 13:46:03.403,    0.068,TCP  ,   192.168.1.100,   192.168.1.100:34548,   216.58.210.46,   216.58.210.46:443  ,       6,     448,    1
2018-05-10 13:46:03.404,    0.067,TCP  ,   192.168.1.100,   192.168.1.100:34556,   216.58.210.46,   216.58.210.46:443  ,       4,     368,    1
2018-05-10 13:46:03.274,    0.110,TCP  ,   216.58.204.14,   216.58.204.14:443  ,   192.168.1.100,   192.168.1.100:50426,      11,    4118,    1
2018-05-10 13:46:03.428,    0.042,TCP  ,   216.58.210.46,   216.58.210.46:443  ,   192.168.1.100,   192.168.1.100:34548,       5,    3487,    1
2018-05-10 13:46:03.403,    0.068,TCP  ,   192.168.1.100,   192.168.1.100:34546,   216.58.210.46,   216.58.210.46:443  ,       5,     408,    1
2018-05-10 13:46:04.964,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:50487,       2,     898,    1
2018-05-10 13:46:03.819,    0.000,TCP  ,   192.168.1.100,   192.168.1.100:42134,   216.58.206.34,   216.58.206.34:443  ,       1,      40,    1
2018-05-10 13:46:05.150,    0.000,TCP  ,   216.58.210.33,   216.58.210.33:443  ,   192.168.1.100,   192.168.1.100:53264,       2,      84,    1
2018-05-10 13:46:05.819,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:57122,        10.0.2.3,        10.0.2.3:53   ,       1,      61,    1
2018-05-10 13:46:05.101,    0.000,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:34316,       2,     762,    1
2018-05-10 13:46:08.748,    0.023,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:46963,       2,     504,    1
2018-05-10 13:46:08.796,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:52032,        10.0.2.3,        10.0.2.3:53   ,       2,     142,    1
2018-05-10 13:46:08.900,    0.037,TCP  ,  216.58.198.162,  216.58.198.162:443  ,   192.168.1.100,   192.168.1.100:48534,       3,    2650,    1
2018-05-10 13:46:08.901,    0.033,TCP  ,    216.58.214.1,    216.58.214.1:443  ,   192.168.1.100,   192.168.1.100:34254,       3,    2833,    1
2018-05-10 13:46:08.900,    0.031,TCP  ,  216.58.198.162,  216.58.198.162:443  ,   192.168.1.100,   192.168.1.100:48536,       3,    2649,    1
2018-05-10 13:46:05.819,    0.001,UDP  ,        10.0.2.3,        10.0.2.3:53   ,   192.168.1.100,   192.168.1.100:57122,       2,     898,    1
2018-05-10 13:46:05.099,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:34316,        10.0.2.3,        10.0.2.3:53   ,       2,     118,    1
2018-05-10 13:46:08.782,    0.000,UDP  ,   192.168.1.100,   192.168.1.100:58602,        10.0.2.3,        10.0.2.3:53   ,       2,     142,    1
2018-05-10 13:46:08.772,    0.131,TCP  ,   192.168.1.100,   192.168.1.100:34798,   216.58.210.38,   216.58.210.38:443  ,       6,     548,    1
2018-05-10 13:46:08.794,    0.132,TCP  ,   216.58.210.38,   216.58.210.38:443  ,   192.168.1.100,   192.168.1.100:34798,       7,    3569,    1
2018-05-10 13:46:05.127,    0.039,TCP  ,   216.58.210.33,   216.58.210.33:443  ,   192.168.1.100,   192.168.1.100:53258,       6,    3672,    1
2018-05-10 13:46:05.105,    0.063,TCP  ,   192.168.1.100,   192.168.1.100:53256,   216.58.210.33,   216.58.210.33:443  ,       6,     543,    1
2018-05-10 13:46:03.404,    1.718,TCP  ,   192.168.1.100,   192.168.1.100:34554,   216.58.210.46,   216.58.210.46:443  ,      11,     820,    1
2018-05-10 13:46:08.891,    0.037,TCP  ,    216.58.214.1,    216.58.214.1:443  ,   192.168.1.100,   192.168.1.100:34252,       4,    2873,    1
2018-05-10 13:46:08.878,    0.053,TCP  ,   192.168.1.100,   192.168.1.100:48536,  216.58.198.162,  216.58.198.162:443  ,       4,     382,    1
2018-05-10 13:46:08.868,    0.073,TCP  ,   192.168.1.100,   192.168.1.100:48528,  216.58.198.162,  216.58.198.162:443  ,       7,    1447,    1
2018-05-10 13:46:05.150,    0.000,TCP  ,   216.58.210.33,   216.58.210.33:443  ,   192.168.1.100,   192.168.1.100:53262,       2,      84,    1
2018-05-10 13:46:05.129,    0.021,TCP  ,   192.168.1.100,   192.168.1.100:53262,   216.58.210.33,   216.58.210.33:443  ,       3,     330,    1
2018-05-10 13:46:08.868,    0.060,TCP  ,   192.168.1.100,   192.168.1.100:34252,    216.58.214.1,    216.58.214.1:443  ,       5,     515,    1
2018-05-10 13:46:03.429,    1.692,TCP  ,   216.58.210.46,   216.58.210.46:443  ,   192.168.1.100,   192.168.1.100:34554,      99,  137136,    1
2018-05-10 13:46:08.890,    0.051,TCP  ,  216.58.198.162,  216.58.198.162:443  ,   192.168.1.100,   192.168.1.100:48528,       6,    2770,    1
2018-05-10 13:46:05.105,    0.058,TCP  ,   192.168.1.100,   192.168.1.100:53260,   216.58.210.33,   216.58.210.33:443  ,       6,     543,    1
